Age,Salary,Expense,OneTimeExpense,Savings,Networth
35,1000000,350000,0,650000,2650000
36,1024999,367500,0,657499,3519499
37,1050623,385875,0,664748,4465806
38,1076888,405168,0,671720,5494790
39,1103810,425426,0,678384,6612757
40,1131405,446697,0,684708,7826485
41,1159690,469031,0,690659,9143262
42,1188682,492482,5000000,-4303800,5570922
43,1218399,517106,5000000,-4298707,1717888
44,1248858,542961,0,705897,2561216
45,1280079,570109,0,709970,3476083
46,1312080,598614,0,713466,4467635
47,1344881,628544,0,716337,5541382
48,1378503,659971,0,718532,6703224
49,1412965,692969,0,719996,7959477
50,1448289,727617,10000000,-9279328,-683093
51,0,763997,0,-763997,-1447090
52,0,802196,0,-802196,-2249286
53,0,842305,0,-842305,-3091591
54,0,884420,0,-884420,-3976011
55,0,928641,0,-928641,-4904652
56,0,975073,0,-975073,-5879725
57,0,1023826,0,-1023826,-6903551
58,0,1075017,0,-1075017,-7978568
59,0,1128767,0,-1128767,-9107335
60,0,1185205,0,-1185205,-10292540
61,0,1244465,0,-1244465,-11537005
62,0,1306688,0,-1306688,-12843693
63,0,1372022,0,-1372022,-14215715
64,0,1440623,0,-1440623,-15656338
65,0,1512654,0,-1512654,-17168992
66,0,1588286,0,-1588286,-18757278
67,0,1667700,0,-1667700,-20424978
68,0,1751085,0,-1751085,-22176063
69,0,1838639,0,-1838639,-24014702
70,0,1930570,0,-1930570,-25945272
71,0,2027098,0,-2027098,-27972370
72,0,2128452,0,-2128452,-30100822
73,0,2234874,0,-2234874,-32335696
74,0,2346617,0,-2346617,-34682313
75,0,2463947,0,-2463947,-37146260
76,0,2587144,0,-2587144,-39733404
77,0,2716501,0,-2716501,-42449905
78,0,2852326,0,-2852326,-45302231
79,0,2994942,0,-2994942,-48297173
80,0,3144689,0,-3144689,-51441862
